ID;FECHA;TORNEO;MODALIDAD
1687894864;2023-06-27;MARTES - 27/06/23;MEDAL
1687052086;2023-06-19;DIA DE LA BANDERA - 19/06/23;MEDAL
1686947095;2023-06-16;GOLF CHANEL;MEDAL
1686685895;2023-06-13;MARTES - 13/06/23;MEDAL
1287008505;2023-06-10;GRUPO BOTRE;MEDAL
-230978413;2023-06-08;JUEVES - 08/06/23;MEDAL
1686092034;2023-06-06;MARTES - 06/06/23;MEDAL
-605301241;2023-06-03;RANCO MATERIALES - 03/06/23;MEDAL
-1161016331;2023-05-31;MIERCOLES - 31/05/23;MEDAL
1685478959;2023-05-30;MARTES - 30/05/23;MEDAL
-737894932;2023-05-27;COPA CIUDAD DE VILLA NUEVA 2° FECHA;MEDAL
1685119419;2023-05-26;VIERNES - 26/05/23;MEDAL
-56195096;2023-05-25;DIA DE LA PATRIA - 25/05/23;MEDAL
593546158;2023-05-12;GOLF CHANEL / MANAGRO - 12/05/23;MEDAL
1683762763;2023-05-10;MIERCOLES - 10/05/23;MEDAL
2015682944;2023-05-06;SARMIENTO MATERIALES - 06/05/23;MEDAL
1683214309;2023-05-04;JUEVES - 04/05/23;MEDAL
1683037037;2023-05-02;DIA DEL TRABAJADOR;MEDAL
-551122522;2023-04-29;LONDON INDUMENTARIA - 29/04/23;MEDAL
1682452246;2023-04-25;MARTES - 25/04/23;MEDAL
1682091752;2023-04-22;VANOVA;MEDAL
-1272921984;2023-04-15;COPA CIUDAD DE VILLA NUEVA 1° FECHA;MEDAL
1681513653;2023-04-15;COPA CIUDAD DE VILLA NUEVA SCRATCH;MEDAL
1681405236;2023-04-13;JUEVES - 13/04/23;MEDAL
1680903493;2023-04-08;SABADO / DE PASCUAS;MEDAL
-691606149;2023-04-07;VIERNES - 07/04/23;MEDAL
1680652605;2023-04-04;MARTES - 04/04/23;MEDAL
1680369091;2023-04-01;1° FECHA RANKING CLASIFICATORIO GOLF CHANEL;MEDAL
1302863251;2023-03-25;AMISTAD;MEDAL
1679606939;2023-03-24;OTOÑO - 24/03/23;MEDAL
1679092487;2023-03-18;ST.PATRICK¨´S DAY;MEDAL
1678997118;2023-03-16;JUEVES - 16/03/23;MEDAL
1678474326;2023-03-11;DIA DE LA MUJER;MEDAL
-440203349;2023-03-09;JUEVES - 09/03/23;MEDAL
1678302912;2023-03-08;MIERCOLES - 08/03/23;MEDAL
1677870479;2023-03-04;APERTURA CORMETAL;MEDAL
1677615325;2023-02-28;MARTES - 28/02/23;MEDAL
1862550984;2023-02-25;LUCKY LION - 25/02/23;MEDAL
-256911929;2023-02-23;JUEVES - 23/02/23;MEDAL
1574094603;2023-02-22;MIERCOLES - 22/02/23;MEDAL
320164912;2023-02-20;CARNAVAL - 20/02/23;MEDAL
1676660059;2023-02-18;LUCKY LION - 18/02/23;MEDAL
1676499408;2023-02-15;MIERCOLES - 15/02/23;MEDAL
1676400123;2023-02-14;MARTES - 14/02/23;MEDAL
-385854979;2023-02-11;LUCKY LION - 11/02/23;MEDAL
1675990775;2023-02-09;JUEVES - 09/02/23;MEDAL
-1839507671;2023-02-04;LUCKY LION - 04/02/23;MEDAL
